!SIL	SIL
几个	g^II ej^MF;2 g^MI OM^FF;3
几乎	g^II ej^MF;1 f^MI uM^FF;4
几十	g^II ej^MF;2 s^MI M6^MM;6 p^FF
几十万	g^II ej^MF;2 s^MI M6^MM;6 p^MF m^MI aM^MM;6 n^FF
几十年	g^II ej^MF;2 s^MI M6^MM;6 p^MF n^MI iM^MM;4 n^FF
几块	g^II ej^MF;2 f^MI aMj^FF;3
几多	g^II ej^MF;2 d^MI OM^FF;1
几年	g^II ej^MF;2 l^MI iM^MM;4 n^FF
几日	g^II ej^MF;2 j^MI M6^MM;6 t^FF
几次	g^II ej^MF;2 ts^MI iM^FF;3
几点	g^II ej^MF;2 d^MI iM^MM;2 m^FF
几篇	g^II ej^MF;2 p^MI iM^MM;1 n^FF
几阵	g^II ej^MF;2 dz^MI M6^MM;6 n^FF
几项	g^II ej^MF;2 h^MI OM^MM;6 N^FF
凡	f^II aM^MM;4 n^FF
凡响	f^II aM^MM;4 n^MF h^MI M9M^MM;2 N^FF
凤凰	f^II uM^MM;6 N^MF w^MI OM^MM;4 N^FF
凤凰木	f^II uM^MM;6 N^MF w^MI OM^MM;4 N^MF m^MI uM^MM;6 k^FF
凭	p^II M6^MM;4 N^FF
凳	d^II M6^MM;3 N^FF
凶徒	h^II uM^MM;1 N^MF t^MI ow^FF;4
凶恶	h^II uM^MM;1 N^MF N^MI OM^MM;3 k^FF
凶杀	h^II uM^MM;1 N^MF s^MI aM^MM;3 t^FF
凶杀案	h^II uM^MM;1 N^MF s^MI aM^MM;3 t^MF N^MI OM^MM;3 n^FF
凶案	h^II uM^MM;1 N^MF N^MI OM^MM;3 n^FF
出	ts^II M9M^MM;1 t^FF
出上	ts^II M9M^MM;1 t^MF s^MI M9M^MM;6 N^FF
出丑	ts^II M9M^MM;1 t^MF ts^MI M6w^FF;2
出世	ts^II M9M^MM;1 t^MF s^MI M6j^FF;3
出乎	ts^II M9M^MM;1 t^MF f^MI uM^FF;4
出于	ts^II M9M^MM;1 t^MF j^MI yM^FF;1
出产	ts^II M9M^MM;1 t^MF ts^MI aM^MM;2 n^FF
出任	ts^II M9M^MM;1 t^MF j^MI M6^MM;6 m^FF
出入	ts^II M9M^MM;1 t^MF j^MI M6^MM;6 p^FF
出入口	ts^II M9M^MM;1 t^MF j^MI M6^MM;6 p^MF h^MI M6w^FF;2
出击	ts^II M9M^MM;1 t^MF g^MI iM^MM;1 k^FF
出动	ts^II M9M^MM;1 t^MF d^MI uM^MM;6 N^FF
出勤	ts^II M9M^MM;1 t^MF k^MI M6^MM;4 n^FF
出厂	ts^II M9M^MM;1 t^MF ts^MI OM^MM;2 N^FF
出去	ts^II M9M^MM;1 t^MF h^MI M9y^FF;3
出发	ts^II M9M^MM;1 t^MF f^MI aM^MM;3 t^FF
出口	ts^II M9M^MM;1 t^MF h^MI M6w^FF;2
出口业	ts^II M9M^MM;1 t^MF h^MI M6w^MF;2 j^MI iM^MM;6 p^FF
出口产品	ts^II M9M^MM;1 t^MF h^MI M6w^MF;2 ts^MI aM^MM;2 n^MF b^MI M6^MM;2 n^FF
出口货	ts^II M9M^MM;1 t^MF h^MI M6w^MF;2 f^MI OM^FF;3
出名	ts^II M9M^MM;1 t^MF m^MI EM^MM;2 N^FF
出售	ts^II M9M^MM;1 t^MF s^MI M6w^FF;6
出国	ts^II M9M^MM;1 t^MF gw^MI OM^MM;3 k^FF
出场	ts^II M9M^MM;1 t^MF ts^MI M9M^MM;4 N^FF
出境	ts^II M9M^MM;1 t^MF g^MI iM^MM;2 N^FF
出声	ts^II M9M^MM;1 t^MF s^MI iM^MM;1 N^FF
出外	ts^II M9M^MM;1 t^MF N^MI OMj^FF;6
出局	ts^II M9M^MM;1 t^MF g^MI uM^MM;6 k^FF
出差	ts^II M9M^MM;1 t^MF ts^MI aMj^FF;1
出席	ts^II M9M^MM;1 t^MF dz^MI iM^MM;6 k^FF
出庭	ts^II M9M^MM;1 t^MF t^MI iM^MM;4 N^FF
出庭作证	ts^II M9M^MM;1 t^MF t^MI iM^MM;4 N^MF dz^MI OM^MM;3 k^MF dz^MI iM^MM;3 N^FF
出庭应讯	ts^II M9M^MM;1 t^MF t^MI iM^MM;4 N^MF j^MI iM^MM;3 N^MF s^MI M9M^MM;3 n^FF
出征	ts^II M9M^MM;1 t^MF dz^MI iM^MM;1 N^FF
出报	ts^II M9M^MM;1 t^MF b^MI ow^FF;3
出新	ts^II M9M^MM;1 t^MF s^MI M6^MM;1 n^FF
出有	ts^II M9M^MM;1 t^MF j^MI M6w^FF;5
出来	ts^II M9M^MM;1 t^MF l^MI OMj^FF;4
出校	ts^II M9M^MM;1 t^MF h^MI aMw^FF;6
出水	ts^II M9M^MM;1 t^MF s^MI M9y^FF;2
出版	ts^II M9M^MM;1 t^MF b^MI aM^MM;2 n^FF
出版商	ts^II M9M^MM;1 t^MF b^MI aM^MM;2 n^MF s^MI M9M^MM;1 N^FF
出版社	ts^II M9M^MM;1 t^MF b^MI aM^MM;2 n^MF s^MI EM^FF;5
出现	ts^II M9M^MM;1 t^MF j^MI iM^MM;6 n^FF
出现分歧	ts^II M9M^MM;1 t^MF j^MI iM^MM;6 n^MF f^MI M6^MM;1 n^MF k^MI ej^FF;4
出界	ts^II M9M^MM;1 t^MF g^MI aMj^FF;3
出租	ts^II M9M^MM;1 t^MF dz^MI ow^FF;1
出色	ts^II M9M^MM;1 t^MF s^MI iM^MM;1 k^FF
出血	ts^II M9M^MM;1 t^MF h^MI yM^MM;3 t^FF
出街	ts^II M9M^MM;1 t^MF g^MI aMj^FF;1
出让	ts^II M9M^MM;1 t^MF j^MI M9M^MM;6 N^FF
出访	ts^II M9M^MM;1 t^MF f^MI OM^MM;2 N^FF
出货	ts^II M9M^MM;1 t^MF f^MI OM^FF;3
出起	ts^II M9M^MM;1 t^MF h^MI ej^FF;2
出路	ts^II M9M^MM;1 t^MF l^MI ow^FF;6
出车	ts^II M9M^MM;1 t^MF ts^MI EM^FF;1
出过	ts^II M9M^MM;1 t^MF gw^MI OM^FF;3
出运	ts^II M9M^MM;1 t^MF w^MI M6^MM;6 n^FF
出门	ts^II M9M^MM;1 t^MF m^MI uM^MM;4 n^FF
出风头	ts^II M9M^MM;1 t^MF f^MI uM^MM;1 N^MF t^MI M6w^FF;4
出马	ts^II M9M^MM;1 t^MF m^MI aM^FF;5
击	g^II iM^MM;1 k^FF
击伤	g^II iM^MM;1 k^MF s^MI M9M^MM;1 N^FF
击倒	g^II iM^MM;1 k^MF d^MI ow^FF;2
击败	g^II iM^MM;1 k^MF b^MI aMj^FF;6
函件	h^II aM^MM;4 m^MF g^MI iM^MM;2 n^FF
凿	dz^II OM^MM;6 k^FF
刀光	d^II ow^MF;1 gw^MI OM^MM;1 N^FF
刀割	d^II ow^MF;1 g^MI OM^MM;3 t^FF
刀枪	d^II ow^MF;1 ts^MI M9M^MM;1 N^FF
刀枪不入	d^II ow^MF;1 ts^MI M9M^MM;1 N^MF b^MI M6^MM;1 t^MF j^MI M6^MM;6 p^FF
刀锯	d^II ow^MF;1 g^MI M9M^FF;3
分	f^II M6^MM;1 n^FF
分为	f^II M6^MM;1 n^MF w^MI M6j^FF;4
分享	f^II M6^MM;1 n^MF h^MI M9M^MM;2 N^FF
分会	f^II M6^MM;6 n^MF w^MI uMj^FF;3
分作	f^II M6^MM;1 n^MF dz^MI OM^MM;3 k^FF
分出	f^II M6^MM;6 n^MF ts^MI M9M^MM;1 t^FF
分别	f^II M6^MM;1 n^MF b^MI iM^MM;6 t^FF
分割	f^II M6^MM;1 n^MF g^MI OM^MM;3 t^FF
分合	f^II M6^MM;6 n^MF h^MI M6^MM;6 p^FF
分地	f^II M6^MM;6 n^MF d^MI ej^FF;6
分外	f^II M6^MM;6 n^MF OMj^FI;6
分头	f^II M6^MM;1 n^MF t^MI M6w^FF;4
分子	f^II M6^MM;6 n^MF dz^MI iM^FF;2
分局	f^II M6^MM;1 n^MF g^MI uM^MM;6 k^FF
分居	f^II M6^MM;6 n^MF g^MI M9y^FF;1
分工	f^II M6^MM;1 n^MF g^MI uM^MM;1 N^FF
分布	f^II M6^MM;1 n^MF b^MI ow^FF;3
分店	f^II M6^MM;6 n^MF d^MI iM^MM;3 m^FF
分开	f^II M6^MM;1 n^MF h^MI OMj^FF;1
分成	f^II M6^MM;1 n^MF s^MI iM^MM;4 N^FF
分批	f^II M6^MM;1 n^MF p^MI M6j^FF;1
分担	f^II M6^MM;1 n^MF d^MI aM^MM;1 m^FF
分拆	f^II M6^MM;1 n^MF ts^MI aM^MM;3 k^FF
分排	f^II M6^MM;6 n^MF p^MI aMj^FF;4
分散	f^II M6^MM;1 n^MF s^MI aM^MM;3 n^FF
分数	f^II M6^MM;1 n^MF s^MI ow^FF;3
分期	f^II M6^MM;1 n^MF k^MI ej^FF;4
分期分批	f^II M6^MM;1 n^MF k^MI ej^MF;4 f^MI M6^MM;1 n^MF p^MI M6j^FF;1
分校	f^II M6^MM;1 n^MF h^MI aMw^FF;6
分歧	f^II M6^MM;1 n^MF k^MI ej^FF;4
分点	f^II M6^MM;6 n^MF d^MI iM^MM;2 m^FF
分科	f^II M6^MM;1 n^MF f^MI OM^FF;1
分站	f^II M6^MM;1 n^MF dz^MI aM^MM;6 m^FF
分级	f^II M6^MM;1 n^MF k^MI M6^MM;1 p^FF
分组	f^II M6^MM;1 n^MF dz^MI ow^FF;2
分获	f^II M6^MM;1 n^MF w^MI OM^MM;6 k^FF
分行	f^II M6^MM;1 n^MF h^MI OM^MM;2 N^FF
分车	f^II M6^MM;6 n^MF ts^MI EM^FF;1
分辨	f^II M6^MM;1 n^MF b^MI iM^MM;6 n^FF
分选	f^II M6^MM;1 n^MF s^MI yM^MM;2 n^FF
分配	f^II M6^MM;1 n^MF p^MI uMj^FF;3
分钟	f^II M6^MM;1 n^MF dz^MI uM^MM;1 N^FF
分销	f^II M6^MM;1 n^MF s^MI iw^FF;1
分龄	f^II M6^MM;1 n^MF l^MI iM^MM;4 N^FF
切	ts^II iM^MM;3 t^FF
切不	ts^II iM^MM;3 t^MF b^MI M6^MM;1 t^FF
切忌	ts^II iM^MM;3 t^MF g^MI ej^FF;6
切记	ts^II iM^MM;3 t^MF g^MI ej^FF;3
切除	ts^II iM^MM;3 t^MF ts^MI M9y^FF;4
刊登	h^II OM^MM;2 n^MF d^MI M6^MM;1 N^FF
刑事	j^II iM^MM;4 N^MF s^MI iM^FF;6
划	w^II aM^MM;6 k^FF
划分	w^II aM^MM;6 k^MF f^MI M6^MM;1 n^FF
划归	w^II aM^MM;6 k^MF gw^MI M6j^FF;1
划进	w^II aM^MM;6 k^MF dz^MI M9M^MM;3 n^FF
列	l^II iM^MM;6 t^FF
列为	l^II iM^MM;6 t^MF w^MI M6j^FF;4
列作	l^II iM^MM;6 t^MF dz^MI OM^MM;3 k^FF
列入	l^II iM^MM;6 t^MF j^MI M6^MM;6 p^FF
列出	l^II iM^MM;6 t^MF ts^MI M9M^MM;1 t^FF
列宁	l^II iM^MM;6 t^MF l^MI iM^MM;4 N^FF
列成	l^II iM^MM;6 t^MF s^MI iM^MM;4 N^FF
列明	l^II iM^MM;6 t^MF m^MI iM^MM;4 N^FF
列车	l^II iM^MM;6 t^MF ts^MI EM^FF;1
列队	l^II iM^MM;6 t^MF d^MI M9y^FF;6
刘	l^II M6w^FF;4
则	dz^II M6^MM;1 k^FF
刚	g^II OM^MM;1 N^FF
刚好	g^II OM^MM;1 N^MF h^MI ow^FF;2
刚强	g^II OM^MM;1 N^MF k^MI M9M^MM;4 N^FF
创	ts^II OM^MM;3 N^FF
创下	ts^II OM^MM;3 N^MF h^MI aM^FF;6
创作	ts^II OM^MM;3 N^MF dz^MI OM^MM;3 k^FF
创意	ts^II OM^MM;3 N^MF j^MI iM^FF;3
创立	ts^II OM^MM;3 N^MF l^MI aM^MM;6 p^FF
初	ts^II OM^FF;1
初期	ts^II OM^MF;1 k^MI ej^FF;4
初步	ts^II OM^MF;1 b^MI ow^FF;6
初段	ts^II OM^MF;1 d^MI yM^MM;6 n^FF
初犯	ts^II OM^MF;1 f^MI aM^MM;6 n^FF
初赛	ts^II OM^MF;1 ts^MI OMj^FF;3
判	p^II uM^MM;3 n^FF
判决	p^II uM^MM;3 n^MF k^MI yM^MM;3 t^FF
判处	p^II uM^MM;3 n^MF ts^MI yM^FF;5
判官	p^II uM^MM;3 n^MF g^MI uM^MM;1 n^FF
判断	p^II uM^MM;3 n^MF d^MI yM^MM;6 n^FF
判罚	p^II uM^MM;3 n^MF f^MI M6^MM;6 t^FF
判若	p^II uM^MM;3 n^MF j^MI M9M^MM;6 k^FF
判若两人	p^II uM^MM;3 n^MF j^MI M9M^MM;6 k^MF l^MI M9M^MM;5 N^MF j^MI M6^MM;4 n^FF
利	l^II ej^FF;6
利亚	l^II ej^MF;6 aM^FI;3
利得	l^II ej^MF;6 d^MI M6^MM;1 k^FF
利息	l^II ej^MF;6 s^MI iM^MM;1 k^FF
利润	l^II ej^MF;6 j^MI M9M^MM;6 n^FF
利率	l^II ej^MF;6 l^MI M9M^MM;2 t^FF
利用	l^II ej^MF;6 j^MI uM^MM;6 N^FF
利用微	l^II ej^MF;6 j^MI uM^MM;6 N^MF m^MI ej^FF;4
利益	l^II ej^MF;6 j^MI iM^MM;1 k^FF
利益冲突	l^II ej^MF;6 j^MI iM^MM;1 k^MF ts^MI uM^MM;1 N^MF d^MI M6^MM;6 k^FF
利益集团	l^II ej^MF;6 j^MI iM^MM;1 k^MF dz^MI aM^MM;6 p^MF t^MI yM^MM;4 n^FF
利维	l^II ej^MF;6 w^MI M6j^FF;4
利钱	l^II ej^MF;6 ts^MI iM^MM;4 n^FF
别	b^II iM^MM;6 t^FF
别人	b^II iM^MM;6 t^MF j^MI M6^MM;4 n^FF
别克	b^II iM^MM;6 t^MF h^MI M6^MM;1 k^FF
别具	b^II iM^MM;6 t^MF g^MI M9y^FF;6
别具特色	b^II iM^MM;6 t^MF g^MI M9y^MF;6 d^MI M6^MM;6 k^MF s^MI iM^MM;1 k^FF
别区	b^II iM^MM;6 t^MF k^MI M9y^FF;1
别墅	b^II iM^MM;6 t^MF s^MI M9y^FF;6
别提	b^II iM^MM;6 t^MF t^MI M6j^FF;4
别的	b^II iM^MM;6 t^MF d^MI iM^MM;1 k^FF
别种	b^II iM^MM;6 t^MF dz^MI uM^MM;2 N^FF
到	d^II ow^FF;3
到场	d^II ow^MF;3 ts^MI M9M^MM;4 N^FF
到处	d^II ow^MF;3 ts^MI yM^FF;3
到头	d^II ow^MF;3 t^MI M6w^FF;4
到底	d^II ow^MF;3 d^MI M6j^FF;2
到访	d^II ow^MF;3 f^MI OM^MM;2 N^FF
到达	d^II ow^MF;3 d^MI aM^MM;6 t^FF
制	dz^II M6j^FF;3
制作	dz^II M6j^MF;3 dz^MI OM^MM;3 k^FF
制动	dz^II M6j^MF;3 d^MI uM^MM;6 N^FF
制品	dz^II M6j^MF;3 b^MI M6^MM;2 n^FF
制度	dz^II M6j^MF;3 d^MI ow^FF;6
制服	dz^II M6j^MF;3 f^MI uM^MM;6 k^FF
制毒	dz^II M6j^MF;3 d^MI uM^MM;6 k^FF
制法	dz^II M6j^MF;3 f^MI aM^MM;3 t^FF
制片	dz^II M6j^MF;3 p^MI iM^MM;2 n^FF
制裁	dz^II M6j^MF;3 ts^MI OMj^FF;4
制造	dz^II M6j^MF;3 dz^MI ow^FF;6
制造厂	dz^II M6j^MF;3 dz^MI ow^MF;6 ts^MI OM^MM;2 N^FF
制造商	dz^II M6j^MF;3 dz^MI ow^MF;6 s^MI M9M^MM;1 N^FF
制造者	dz^II M6j^MF;3 dz^MI ow^MF;6 dz^MI EM^FF;2
刷	ts^II aM^MM;3 t^FF
刷新	ts^II aM^MM;3 t^MF s^MI M6^MM;1 n^FF
券商	g^II yM^MM;3 n^MF s^MI M9M^MM;1 N^FF
刹车	s^II aM^MM;3 t^MF ts^MI EM^FF;1
刺刀	ts^II iM^MF;3 d^MI ow^FF;1
刺探	ts^II iM^MF;3 t^MI aM^MM;3 m^FF
刺激	ts^II iM^MF;3 g^MI iM^MM;1 k^FF
刺痛	ts^II iM^MF;3 t^MI uM^MM;3 N^FF
刻下	h^II M6^MM;1 k^MF h^MI aM^FF;6
刻作	h^II M6^MM;1 k^MF dz^MI OM^MM;3 k^FF
刻意	h^II M6^MM;1 k^MF j^MI iM^FF;3
剁成	d^II M9M^MM;1 k^MF s^MI iM^MM;4 N^FF
削减	s^II M9M^MM;3 k^MF g^MI aM^MM;2 m^FF
削发	s^II M9M^MM;3 k^MF f^MI aM^MM;3 t^FF
削发为尼	s^II M9M^MM;3 k^MF f^MI aM^MM;3 t^MF w^MI M6j^MF;4 n^MI ej^FF;4
削弱	s^II M9M^MM;3 k^MF j^MI M9M^MM;6 k^FF
前	ts^II iM^MM;4 n^FF
前任	ts^II iM^MM;4 n^MF j^MI M6^MM;6 m^FF
前例	ts^II iM^MM;4 n^MF l^MI M6j^FF;6
前几日	ts^II iM^MM;4 n^MF g^MI ej^MF;2 j^MI M6^MM;6 t^FF
前半	ts^II iM^MM;4 n^MF b^MI uM^MM;3 n^FF
前半部	ts^II iM^MM;4 n^MF b^MI uM^MM;3 n^MF b^MI ow^FF;6
前去	ts^II iM^MM;4 n^MF h^MI M9y^FF;3
前场	ts^II iM^MM;4 n^MF ts^MI M9M^MM;4 N^FF
前夫	ts^II iM^MM;4 n^MF f^MI uM^FF;1
前年	ts^II iM^MM;4 n^MF n^MI iM^MM;2 n^FF
前往	ts^II iM^MM;4 n^MF w^MI OM^MM;5 N^FF
前房	ts^II iM^MM;4 n^MF f^MI OM^MM;4 N^FF
前所	ts^II iM^MM;4 n^MF s^MI OM^FF;2
前所未有	ts^II iM^MM;4 n^MF s^MI OM^MF;2 m^MI ej^MF;6 j^MI M6w^FF;5
前排	ts^II iM^MM;4 n^MF p^MI aMj^FF;4
前日	ts^II iM^MM;4 n^MF j^MI M6^MM;6 t^FF
前晚	ts^II iM^MM;4 n^MF m^MI aM^MM;5 n^FF
前景	ts^II iM^MM;4 n^MF g^MI iM^MM;2 N^FF
前此	ts^II iM^MM;4 n^MF ts^MI iM^FF;2
前者	ts^II iM^MM;4 n^MF dz^MI EM^FF;2
前行	ts^II iM^MM;4 n^MF h^MI M6^MM;4 N^FF
前车	ts^II iM^MM;4 n^MF ts^MI EM^FF;1
前途	ts^II iM^MM;4 n^MF t^MI ow^FF;4
前锋	ts^II iM^MM;4 n^MF f^MI uM^MM;1 N^FF
前面	ts^II iM^MM;4 n^MF m^MI iM^MM;6 n^FF
前额	ts^II iM^MM;4 n^MF aM^MI;6 k^FF
剑	g^II iM^MM;3 m^FF
剑客	g^II iM^MM;3 m^MF h^MI aM^MM;3 k^FF
剥削	m^II OM^MM;1 k^MF s^MI M9M^MM;3 k^FF
剥夺	m^II OM^MM;1 k^MF d^MI yM^MM;6 t^FF
剥离	m^II OM^MM;1 k^MF l^MI ej^FF;4
剧	k^II EM^MM;6 k^FF
剧中	k^II EM^MM;6 k^MF dz^MI uM^MM;1 N^FF
剧场	k^II EM^MM;6 k^MF ts^MI M9M^MM;4 N^FF
剧坛	k^II EM^MM;6 k^MF t^MI aM^MM;4 n^FF
剧增	k^II EM^MM;6 k^MF dz^MI M6^MM;1 N^FF
剧情	k^II EM^MM;6 k^MF ts^MI iM^MM;4 N^FF
剧本	k^II EM^MM;6 k^MF b^MI uM^MM;2 n^FF
剧烈	k^II EM^MM;6 k^MF l^MI iM^MM;6 t^FF
剧痛	k^II EM^MM;6 k^MF t^MI uM^MM;3 N^FF
剧组	k^II EM^MM;6 k^MF dz^MI ow^FF;2
剧集	k^II EM^MM;6 k^MF dz^MI aM^MM;6 p^FF
剩下	s^II iM^MM;6 N^MF h^MI aM^FF;6
副	f^II uM^FF;3
副业	f^II uM^MF;3 j^MI iM^MM;6 p^FF
副总	f^II uM^MF;3 dz^MI uM^MM;2 N^FF
副省长	f^II uM^MF;3 s^MI aM^MM;2 N^MF dz^MI M9M^MM;2 N^FF
副署	f^II uM^MF;3 ts^MI yM^FF;5
副部长	f^II uM^MF;3 b^MI ow^MF;6 dz^MI M9M^MM;2 N^FF
割	g^II OM^MM;3 t^FF
割伤	g^II OM^MM;3 t^MF s^MI M9M^MM;1 N^FF
劈头	p^II EM^MM;3 k^MF t^MI M6w^FF;4
力	l^II iM^MM;6 k^FF
力保	l^II iM^MM;6 k^MF b^MI ow^FF;2
力克	l^II iM^MM;6 k^MF h^MI M6^MM;1 k^FF
力学	l^II iM^MM;6 k^MF h^MI OM^MM;6 k^FF
力守	l^II iM^MM;6 k^MF s^MI M6w^FF;2
力挽狂澜	l^II iM^MM;6 k^MF w^MI aM^MM;5 n^MF k^MI OM^MM;4 N^MF l^MI aM^MM;4 n^FF
力求	l^II iM^MM;6 k^MF k^MI M6w^FF;4
力竭	l^II iM^MM;6 k^MF k^MI iM^MM;3 t^FF
力证	l^II iM^MM;6 k^MF dz^MI iM^MM;3 N^FF
力量	l^II iM^MM;6 k^MF l^MI M9M^MM;6 N^FF
力阻	l^II iM^MM;6 k^MF dz^MI OM^FF;2
劝	h^II yM^MM;3 n^FF
劝告	h^II yM^MM;3 n^MF g^MI ow^FF;3
劝服	h^II yM^MM;3 n^MF f^MI uM^MM;6 k^FF
劝诫	h^II yM^MM;3 n^MF g^MI aMj^FF;3
办	b^II aM^MM;6 n^FF
办事	b^II aM^MM;6 n^MF s^MI iM^FF;6
办事处	b^II aM^MM;6 n^MF s^MI iM^MF;6 ts^MI yM^FF;5
办公	b^II aM^MM;6 n^MF g^MI uM^MM;1 N^FF
办公厅	b^II aM^MM;6 n^MF g^MI uM^MM;1 N^MF t^MI EM^MM;1 N^FF
办公室	b^II aM^MM;6 n^MF g^MI uM^MM;1 N^MF s^MI M6^MM;1 t^FF
办处	b^II aM^MM;6 n^MF ts^MI yM^FF;3
办妥	b^II aM^MM;6 n^MF t^MI OM^FF;5
办法	b^II aM^MM;6 n^MF f^MI aM^MM;3 t^FF
功效	g^II uM^MM;1 N^MF h^MI aMw^FF;6
功绩	g^II uM^MM;1 N^MF dz^MI iM^MM;1 k^FF
功能	g^II uM^MM;1 N^MF n^MI M6^MM;4 N^FF
加	g^II aM^FF;1
加上	g^II aM^MF;1 s^MI M9M^MM;5 N^FF
加以	g^II aM^MF;1 j^MI iM^FF;5
加价	g^II aM^MF;1 g^MI aM^FF;3
加倍	g^II aM^MF;1 p^MI uMj^FF;5
加入	g^II aM^MF;1 j^MI M6^MM;6 p^FF
加减	g^II aM^MF;1 g^MI aM^MM;2 m^FF
加剧	g^II aM^MF;1 k^MI EM^MM;6 k^FF
加工	g^II aM^MF;1 g^MI uM^MM;1 N^FF
加强	g^II aM^MF;1 k^MI M9M^MM;4 N^FF
加快	g^II aM^MF;1 f^MI aMj^FF;3
加息	g^II aM^MF;1 s^MI iM^MM;1 k^FF
加拿	g^II aM^MF;1 n^MI aM^FF;4
加拿大	g^II aM^MF;1 n^MI aM^MF;4 d^MI aMj^FF;6
加深	g^II aM^MF;1 s^MI M6^MM;1 m^FF
加添	g^II aM^MF;1 t^MI iM^MM;1 m^FF
加班	g^II aM^MF;1 b^MI aM^MM;1 n^FF
加班费	g^II aM^MF;1 b^MI aM^MM;1 n^MF f^MI M6j^FF;3
加盟	g^II aM^MF;1 m^MI M6^MM;4 N^FF
加薪	g^II aM^MF;1 s^MI M6^MM;1 n^FF
加设	g^II aM^MF;1 ts^MI iM^MM;3 t^FF
务	m^II ow^FF;6
务求	m^II ow^MF;6 k^MI M6w^FF;4
动上	d^II uM^MM;6 N^MF s^MI M9M^MM;5 N^FF
动乱	d^II uM^MM;6 N^MF l^MI yM^MM;6 n^FF
动人	d^II uM^MM;6 N^MF j^MI M6^MM;4 n^FF
动作	d^II uM^MM;6 N^MF dz^MI OM^MM;3 k^FF
动作片	d^II uM^MM;6 N^MF dz^MI OM^MM;3 k^MF p^MI iM^MM;2 n^FF
动力	d^II uM^MM;6 N^MF l^MI iM^MM;6 k^FF
动力学	d^II uM^MM;6 N^MF l^MI iM^MM;6 k^MF h^MI OM^MM;6 k^FF
动听	d^II uM^MM;6 N^MF t^MI iM^MM;3 N^FF
动感	d^II uM^MM;6 N^MF g^MI M6^MM;2 m^FF
动手	d^II uM^MM;6 N^MF s^MI M6w^FF;2
动机	d^II uM^MM;6 N^MF g^MI ej^FF;1
动物	d^II uM^MM;6 N^MF m^MI M6^MM;6 t^FF
动物体	d^II uM^MM;6 N^MF m^MI M6^MM;6 t^MF t^MI M6j^FF;2
动物园	d^II uM^MM;6 N^MF m^MI M6^MM;6 t^MF j^MI yM^MM;4 n^FF
动用	d^II uM^MM;6 N^MF j^MI uM^MM;6 N^FF
动系统	d^II uM^MM;6 N^MF h^MI M6j^MF;6 t^MI uM^MM;2 N^FF
动能	d^II uM^MM;6 N^MF n^MI M6^MM;4 N^FF
动脉	d^II uM^MM;6 N^MF m^MI M6^MM;6 k^FF
动脑	d^II uM^MM;6 N^MF l^MI ow^FF;5
动脑筋	d^II uM^MM;6 N^MF l^MI ow^MF;5 g^MI M6^MM;1 n^FF
动起	d^II uM^MM;6 N^MF h^MI ej^FF;2
动辄	d^II uM^MM;6 N^MF dz^MI iM^MM;1 t^FF
助	dz^II OM^FF;6
助手	dz^II OM^MF;6 s^MI M6w^FF;2
助推	dz^II OM^MF;6 t^MI M9y^FF;1
助攻	dz^II OM^MF;6 g^MI uM^MM;1 N^FF
助理	dz^II OM^MF;6 l^MI ej^FF;5
助选	dz^II OM^MF;6 s^MI yM^MM;2 n^FF
努力	l^II ow^MF;5 l^MI iM^MM;6 k^FF
劫	g^II iM^MM;3 p^FF
劫匪	g^II iM^MM;3 p^MF f^MI ej^FF;2
劫杀	g^II iM^MM;3 p^MF s^MI aM^MM;3 t^FF
劫难	g^II iM^MM;3 p^MF l^MI aM^MM;6 n^FF
励人	l^II M6j^MF;6 j^MI M6^MM;4 n^FF
劲	g^II iM^MM;6 N^FF
劲射	g^II iM^MM;6 N^MF s^MI EM^FF;6
劳力	l^II ow^MF;4 l^MI iM^MM;6 k^FF
劳动	l^II ow^MF;4 d^MI uM^MM;6 N^FF
劳动力	l^II ow^MF;4 d^MI uM^MM;6 N^MF l^MI iM^MM;6 k^FF
劳动法	l^II ow^MF;4 d^MI uM^MM;6 N^MF f^MI aM^MM;3 t^FF
劳工	l^II ow^MF;4 g^MI uM^MM;1 N^FF
劳工部	l^II ow^MF;4 g^MI uM^MM;1 N^MF b^MI ow^FF;6
劳心	l^II ow^MF;4 s^MI M6^MM;1 m^FF
劳苦	l^II ow^MF;4 f^MI uM^FF;2
劳资	l^II ow^MF;4 dz^MI iM^FF;1
劳资双方	l^II ow^MF;4 dz^MI iM^MF;1 s^MI M9M^MM;1 N^MF f^MI OM^MM;1 N^FF
劳资纠纷	l^II ow^MF;4 dz^MI iM^MF;1 d^MI M6w^MF;2 f^MI M6^MM;1 n^FF
勇气	j^II uM^MM;5 N^MF h^MI ej^FF;3
勉力	m^II iM^MM;5 n^MF l^MI iM^MM;6 k^FF
勋章	f^II M6^MM;1 n^MF dz^MI M9M^MM;1 N^FF
勒令	l^II aM^MM;6 k^MF l^MI iM^MM;6 N^FF
勒斯	l^II M6^MM;6 k^MF s^MI iM^FF;1
勒索	n^II aM^MM;6 k^MF s^MI OM^MM;3 k^FF
勘	h^II M6^MM;3 m^FF
勘察	h^II M6^MM;3 m^MF ts^MI aM^MM;3 t^FF
勤力	k^II M6^MM;4 n^MF l^MI iM^MM;6 k^FF
勤奋	k^II M6^MM;4 n^MF f^MI M6^MM;5 n^FF
勾结	N^II M6w^MF;1 g^MI iM^MM;3 t^FF
